Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
std::vector<TransformUnit*, std::allocator<TransformUnit*>>::_M_realloc_insert<TransformUnit* const&>	19200.000000	36384.000000	17184.000000	133	EncoderAppStatic
VideoIOYuv::open	17488.000000	26232.000000	8744.000000	6	EncoderAppStatic
IntraSearch::xRecurIntraCodingLumaQT	16686.000000	16686.000000		19	EncoderAppStatic
df::program_options_lite::OptionWriter::storePair	16563.000000	51522.000000	34959.000000	81	EncoderAppStatic
RdCost::initLumaLevelToWeightTableReshape	16384.000000	16384.000000		2	EncoderAppStatic
EncCu::xCheckBestMode	15918.000000	15918.000000		7	EncoderAppStatic
EncCu::xCompressCU	15918.000000	15918.000000		7	EncoderAppStatic
EncLib::init	13096.000000	13096.000000		4	EncoderAppStatic
EncCu::xCheckModeSplit	11690.000000	11690.000000		10	EncoderAppStatic
EncCu::init	11264.000000	11264.000000		130	EncoderAppStatic
ScalingList::ScalingList	11008.000000	11008.000000		52	EncoderAppStatic
std::vector<CodingUnit*, std::allocator<CodingUnit*>>::_M_realloc_insert<CodingUnit* const&>	10944.000000	20768.000000	9824.000000	89	EncoderAppStatic
std::vector<PredictionUnit*, std::allocator<PredictionUnit*>>::_M_realloc_insert<PredictionUnit* const&>	10944.000000	20768.000000	9824.000000	89	EncoderAppStatic
EncApp::createLib	9080.000000	9080.000000		5	EncoderAppStatic
EncGOP::init	8192.000000	8192.000000		1	EncoderAppStatic
Picture::allocateNewSlice	7720.000000	7720.000000		1	EncoderAppStatic
__static_initialization_and_destruction_0.constprop.173	7640.000000	7722.000000	82.000000	69	EncoderAppStatic
EncGOP::compressGOP	7456.000000	7584.000000	128.000000	12	EncoderAppStatic
__static_initialization_and_destruction_0.constprop.312	7280.000000	7362.000000	82.000000	67	EncoderAppStatic
__static_initialization_and_destruction_0.constprop.844	7280.000000	7362.000000	82.000000	67	EncoderAppStatic
__static_initialization_and_destruction_0.constprop.97	7280.000000	7362.000000	82.000000	67	EncoderAppStatic
CtxStore<BinProbModel_Std>::CtxStore	4548.000000	4548.000000		2	EncoderAppStatic
EncLib::EncLib	4548.000000	4548.000000		2	EncoderAppStatic
EncReshape::createEnc	4548.000000	4548.000000		9	EncoderAppStatic
CodingStructure::clearTUs	3128.000000	6192.000000	3064.000000	13	EncoderAppStatic
ChromaQpMappingTable::derivedChromaQPMappingTables	3040.000000	3040.000000		76	EncoderAppStatic
ParameterSetMap<APS>::allocatePS	3024.000000	3024.000000		2	EncoderAppStatic
EncApp::xCreateLib	2904.000000	2904.000000		33	EncoderAppStatic
EncLib::xGetNewPicBuffer	2808.000000	2808.000000		1	EncoderAppStatic
CDTrace::CDTrace	2664.000000	3216.000000	552.000000	38	EncoderAppStatic
std::vector<Channel, std::allocator<Channel>>::_M_realloc_insert<Channel>	2560.000000	5080.000000	2520.000000	7	EncoderAppStatic
CodingStructure::clearCUs	2312.000000	4672.000000	2360.000000	11	EncoderAppStatic
CodingStructure::clearPUs	2312.000000	4672.000000	2360.000000	11	EncoderAppStatic
Picture::finalInit	2040.000000	2040.000000		2	EncoderAppStatic
ContextSetCfg::addCtxSet	1712.000000	3312.000000	1600.000000	16	EncoderAppStatic
BinCounter::BinCounter	1516.000000	1516.000000		1	EncoderAppStatic
PartitionerImpl::getCUSubPartitions	1496.000000	3783120.000000	3781624.000000	18883	EncoderAppStatic
_GLOBAL__sub_I_InterSearch.cpp	1040.000000	1040.000000		1	EncoderAppStatic
_GLOBAL__sub_I_RdCost.cpp	1040.000000	1040.000000		1	EncoderAppStatic
__libc_csu_init	1040.000000	1040.000000		1	EncoderAppStatic
std::vector<EncTestMode, std::allocator<EncTestMode>>::_M_realloc_insert<EncTestMode>	960.000000	7710288.000000	7709328.000000	92879	EncoderAppStatic
ParameterSetMap<PPS>::allocatePS	656.000000	656.000000		2	EncoderAppStatic
CDTrace::update	576.000000	3146056560.000000	3146055984.000000	43695230	EncoderAppStatic
Picture::Picture	576.000000	576.000000		2	EncoderAppStatic
__register_frame	528.000000	528.000000		11	libgcc_s.so.1
std::vector<Ctx*, std::allocator<Ctx*>>::_M_realloc_insert<Ctx* const&>	512.000000	992.000000	480.000000	5	EncoderAppStatic
_GLOBAL__sub_I_CommonDefX86.cpp	432.000000	432.000000		6	EncoderAppStatic
df::program_options_lite::Options::addOption	432.000000	342427.000000	341995.000000	4915	EncoderAppStatic
tracing_init	192.000000	1672.000000	1480.000000	2	EncoderAppStatic
EncAppCfg::parseCfg	190.000000	112095.000000	111905.000000	1144	EncoderAppStatic
EncApp::xInitLibCfg	168.000000	336.000000	168.000000	2	EncoderAppStatic
EncLib::xInitDCI	168.000000	336.000000	168.000000	2	EncoderAppStatic
EncLib::xInitPPS	160.000000	160.000000		1	EncoderAppStatic
EncTemporalFilter::init	146.000000	146.000000		3	EncoderAppStatic
PPS::initSubPic	136.000000	136.000000		2	EncoderAppStatic
std::vector<SubPic, std::allocator<SubPic>>::_M_realloc_insert<SubPic>	136.000000	136.000000		2	EncoderAppStatic
DecCu::initDecCuReshaper	112.000000	112.000000		1	EncoderAppStatic
_GLOBAL__sub_I_Contexts.cpp	96.000000	96.000000		1	EncoderAppStatic
df::program_options_lite::Option<std::map<int, double, std::less<int>, std::allocator<std::pair<int const, double>>>>::parse	96.000000	210.000000	114.000000	4	EncoderAppStatic
QTBTPartitioner::initCtu	88.000000	792.000000	704.000000	9	EncoderAppStatic
PPS::initRectSliceMap	80.000000	80.000000		2	EncoderAppStatic
PPS::initRectSlices	32.000000	32.000000		1	EncoderAppStatic
SliceMap::addCtusToSlice	32.000000	32.000000		1	EncoderAppStatic
std::vector<unsigned int, std::allocator<unsigned int>>::emplace_back<unsigned int>	32.000000	32.000000		1	EncoderAppStatic
CABACWriter::cu_residual	0.0	757504.000000	757504.000000	8608	EncoderAppStatic
CompStorage::create	0.0	12184192.000000	12184192.000000	83104	EncoderAppStatic
EncAppCfg::xCheckParameter	0.0	95.000000	95.000000	1	EncoderAppStatic
EncCu::xCheckRDCostIntra	0.0	626560.000000	626560.000000	7120	EncoderAppStatic
EncLib::xInitVPS	0.0	7784.000000	7784.000000	1	EncoderAppStatic
EncReshape::calcSeqStats	0.0	17216.000000	17216.000000	7	EncoderAppStatic
EncReshape::deriveReshapeParametersSDR	0.0	320.000000	320.000000	3	EncoderAppStatic
EncTemporalFilter::bilateralFilter	0.0	224.000000	224.000000	1	EncoderAppStatic
EncTemporalFilter::filter	0.0	150280.000000	150280.000000	4	EncoderAppStatic
EncTemporalFilter::motionEstimation	0.0	28080.000000	28080.000000	6	EncoderAppStatic
PPS::checkSliceMap	0.0	64.000000	64.000000	2	EncoderAppStatic
PartitionerImpl::getTUIntraSubPartitions	0.0	66890560.000000	66890560.000000	248855	EncoderAppStatic
TrQuant::selectICTCandidates	0.0	33458496.000000	33458496.000000	220194	EncoderAppStatic
VideoIOYuv::read	0.0	2496.000000	2496.000000	9	EncoderAppStatic
_Z28getListOfColourSpaceConvertsB5cxx11b	0.0	96.000000	96.000000	2	EncoderAppStatic
df::program_options_lite::ArgvParser::parseSHORT	0.0	542.000000	542.000000	8	EncoderAppStatic
df::program_options_lite::CfgStreamParser::scanLine	0.0	18556.000000	18556.000000	66	EncoderAppStatic
df::program_options_lite::CfgStreamParser::scanStream	0.0	36706.000000	36706.000000	318	EncoderAppStatic
df::program_options_lite::CfgStreamParser::where[abi:cxx11]	0.0	79998.000000	79998.000000	286	EncoderAppStatic
df::program_options_lite::Option<GOPEntry>::parse	0.0	14717.000000	14717.000000	128	EncoderAppStatic
df::program_options_lite::Option<double>::parse	0.0	114.000000	114.000000	2	EncoderAppStatic
df::program_options_lite::OptionBase::OptionBase	0.0	1153.000000	1153.000000	9	EncoderAppStatic
df::program_options_lite::OptionSpecific::operator()<SMultiValueInput<bool>>	0.0	1097.000000	1097.000000	10	EncoderAppStatic
df::program_options_lite::OptionSpecific::operator()<SMultiValueInput<double>>	0.0	819.000000	819.000000	6	EncoderAppStatic
df::program_options_lite::OptionSpecific::operator()<SMultiValueInput<int>>	0.0	3485.000000	3485.000000	39	EncoderAppStatic
df::program_options_lite::OptionSpecific::operator()<SMultiValueInput<unsigned int>>	0.0	6378.000000	6378.000000	64	EncoderAppStatic
df::program_options_lite::OptionSpecific::operator()<bool>.constprop.439	0.0	33364.000000	33364.000000	448	EncoderAppStatic
df::program_options_lite::OptionSpecific::operator()<bool>.constprop.440	0.0	9796.000000	9796.000000	124	EncoderAppStatic
df::program_options_lite::OptionSpecific::operator()<double>	0.0	5344.000000	5344.000000	60	EncoderAppStatic
df::program_options_lite::OptionSpecific::operator()<int>	0.0	19999.000000	19999.000000	242	EncoderAppStatic
df::program_options_lite::OptionSpecific::operator()<int>.constprop.437	0.0	15359.000000	15359.000000	193	EncoderAppStatic
df::program_options_lite::OptionSpecific::operator()<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>	0.0	2960.000000	2960.000000	28	EncoderAppStatic
df::program_options_lite::OptionSpecific::operator()<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>.constprop.438	0.0	34974.000000	34974.000000	442	EncoderAppStatic
df::program_options_lite::OptionSpecific::operator()<unsigned int>	0.0	10512.000000	10512.000000	122	EncoderAppStatic
df::program_options_lite::parseConfigFile	0.0	17574.000000	17574.000000	6	EncoderAppStatic
std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>::_M_construct<char*>.isra.396	0.0	91.000000	91.000000	1	EncoderAppStatic
[Unknown]				1	[Unknown]
